iter	Passed	Remaining
0	65	19438
1	68	10269
2	70	6977
3	73	5457
4	76	4526
5	79	3899
6	81	3415
7	84	3079
8	88	2846
9	90	2614
10	94	2486
11	96	2325
12	99	2204
13	102	2095
14	105	2001
15	106	1895
16	108	1800
17	110	1733
18	112	1668
19	114	1599
20	116	1542
21	119	1513
22	122	1478
23	126	1451
24	128	1412
25	130	1377
26	133	1351
27	135	1319
28	138	1290
29	139	1256
30	143	1246
31	146	1226
32	148	1197
33	149	1168
34	152	1152
35	155	1140
36	157	1120
37	159	1096
38	162	1085
39	163	1065
40	167	1055
41	168	1036
42	170	1019
43	175	1018
44	177	1004
45	179	992
46	182	983
47	184	969
48	187	960
49	189	945
50	190	929
51	192	917
52	194	908
53	198	906
54	202	903
55	205	896
56	208	888
57	210	876
58	211	864
59	215	861
60	219	858
61	221	849
62	224	844
63	226	836
64	228	827
65	230	818
66	233	810
67	235	805
68	238	796
69	242	796
70	245	791
71	248	785
72	250	780
73	251	769
74	254	764
75	255	754
76	259	751
77	261	744
78	265	743
79	266	733
80	269	728
81	271	721
82	272	713
83	276	711
84	277	702
85	280	698
86	282	691
87	285	687
88	287	681
89	288	673
90	290	668
91	293	662
92	295	657
93	299	656
94	303	654
95	307	654
96	312	653
97	315	650
98	317	644
99	320	640
100	323	636
101	325	632
102	327	627
103	329	620
104	333	619
105	335	613
106	336	607
107	338	601
108	340	595
109	341	590
110	344	585
111	346	582
112	347	575
113	350	572
114	353	568
115	355	564
116	356	557
117	359	554
118	361	550
119	364	546
120	366	541
121	369	539
122	371	534
123	373	529
124	376	526
125	378	522
126	381	519
127	383	515
128	386	512
129	388	507
130	389	501
131	390	497
132	394	495
133	397	492
134	399	488
135	402	485
136	404	481
137	405	476
138	409	474
139	411	469
140	414	467
141	417	464
142	419	461
143	420	455
144	423	453
145	426	449
146	427	445
147	429	441
148	432	438
149	435	435
150	438	432
151	440	429
152	443	426
153	446	423
154	449	420
155	452	417
156	454	413
157	457	410
158	459	407
159	463	405
160	466	402
161	469	400
162	473	398
163	475	394
164	478	391
165	480	387
166	482	384
167	488	383
168	491	381
169	493	377
170	496	374
171	499	371
172	501	368
173	504	365
174	508	363
175	513	361
176	514	357
177	517	354
178	520	351
179	523	348
180	526	346
181	529	343
182	532	340
183	535	337
184	539	335
185	542	332
186	546	330
187	550	328
188	553	325
189	556	322
190	558	318
191	560	315
192	564	312
193	568	310
194	572	308
195	577	306
196	579	303
197	584	301
198	588	298
199	591	295
200	594	293
201	597	290
202	601	287
203	605	284
204	607	281
205	609	278
206	613	275
207	617	272
208	620	270
209	624	267
210	628	265
211	631	262
212	635	259
213	638	256
214	641	253
215	645	250
216	648	248
217	652	245
218	656	242
219	659	239
220	663	237
221	666	234
222	672	232
223	677	229
224	681	227
225	686	224
226	690	222
227	694	219
228	697	216
229	701	213
230	704	210
231	708	207
232	711	204
233	716	202
234	721	199
235	726	197
236	731	194
237	736	191
238	741	189
239	746	186
240	751	183
241	755	181
242	760	178
243	765	175
244	769	172
245	774	170
246	779	167
247	783	164
248	788	161
249	793	158
250	797	155
251	802	152
252	806	149
253	811	147
254	815	143
255	818	140
256	821	137
257	825	134
258	828	131
259	831	127
260	834	124
261	837	121
262	840	118
263	844	115
264	847	111
265	851	108
266	854	105
267	859	102
268	864	99
269	868	96
270	871	93
271	876	90
272	881	87
273	884	83
274	887	80
275	891	77
276	894	74
277	898	71
278	901	67
279	905	64
280	908	61
281	912	58
282	917	55
283	921	51
284	924	48
285	928	45
286	933	42
287	936	39
288	940	35
289	944	32
290	947	29
291	952	26
292	956	22
293	960	19
294	963	16
295	966	13
296	969	9
297	973	6
298	976	3
299	979	0
